period,language,avg_share_pct,avg_push_events,avg_unique_actors
2011-Q1,C,10.2711,13681.208698307177,2408.0
2011-Q1,C#,2.173,2894.425017033318,490.0
2011-Q1,C++,8.8417,11777.253132374728,1671.0
2011-Q1,Dart,0.0041,5.425922227125484,19.0
2011-Q1,Go,0.5359,713.8092236449469,124.0
2011-Q1,Haskell,1.6633,2215.5956223122625,251.0
2011-Q1,Java,10.1876,13569.932574491131,1537.0
2011-Q1,JavaScript,15.7051,20919.38565364256,3863.0
2011-Q1,Julia,0.0006,0.7971834118248161,16.0
2011-Q1,Kotlin,0.0586,78.10131192177319,40.0
2011-Q1,Lua,0.3609,480.7792515549148,266.0
2011-Q1,Objective-C,1.7811,2372.4105976091087,840.0
2011-Q1,PHP,9.9507,13254.40942652876,1545.0
2011-Q1,Perl,1.582,2107.254910198751,1259.0
2011-Q1,Python,15.4012,20514.568828806063,3121.0
2011-Q1,R,0.0449,59.81261931835364,195.0
2011-Q1,Ruby,19.6379,26157.86519366351,3251.0
2011-Q1,Rust,0.2974,396.16435264421926,68.0
2011-Q1,Scala,1.3258,1766.035274572395,217.0
2011-Q1,Swift,0.02,26.67583031456684,27.0
2011-Q1,TypeScript,0.1569,208.94320126236184,71.0
2011-Q2,C,9.3527,24924.392703527,3670.0
2011-Q2,C#,2.2772,6068.589164639601,711.0
2011-Q2,C++,9.5871,25548.909239595218,2636.0
2011-Q2,Dart,0.0016,4.238948828325054,21.0
2011-Q2,Go,0.7542,2010.005655602846,189.0
2011-Q2,Haskell,1.4516,3868.348270745541,400.0
2011-Q2,Java,11.3184,30162.819066096305,2369.0
2011-Q2,JavaScript,15.3915,41017.23446625262,6073.0
2011-Q2,Julia,0.0006,1.5670573896923423,16.0
2011-Q2,Kotlin,0.0457,121.91580241760644,49.0
2011-Q2,Lua,0.4098,1092.1989976648083,370.0
2011-Q2,Objective-C,1.782,4748.818686123278,1356.0
2011-Q2,PHP,9.1907,24492.522695090367,2419.0
2011-Q2,Perl,1.6004,4264.991855201392,1917.0
2011-Q2,Python,15.6745,41771.40199545452,4686.0
2011-Q2,R,0.0583,155.44708358394337,237.0
2011-Q2,Ruby,19.2051,51180.20559594742,4935.0
2011-Q2,Rust,0.3374,899.067043717312,124.0
2011-Q2,Scala,1.2921,3443.255350058608,326.0
2011-Q2,Swift,0.0266,70.90844846613311,54.0
2011-Q2,TypeScript,0.2426,646.4895792854932,115.0
2011-Q3,C,8.7327,26435.38580416744,4062.0
2011-Q3,C#,2.5487,7715.488886934787,832.0
2011-Q3,C++,8.6754,26261.99322961204,2972.0
2011-Q3,Dart,0.0061,18.600977436070256,13.0
2011-Q3,Go,0.6949,2103.7209151918846,197.0
2011-Q3,Haskell,1.6266,4924.135615176268,418.0
2011-Q3,Java,10.5786,32023.144131966288,2699.0
2011-Q3,JavaScript,16.2224,49108.0549797788,7041.0
2011-Q3,Julia,0.0004,1.3107179646044191,11.0
2011-Q3,Kotlin,0.0869,263.18250657011623,45.0
2011-Q3,Lua,0.4666,1412.59468470219,387.0
2011-Q3,Objective-C,1.9494,5901.046454813237,1537.0
2011-Q3,PHP,9.9119,30004.99842529836,2768.0
2011-Q3,Perl,1.5225,4608.802958224072,2128.0
2011-Q3,Python,16.694,50535.536919429134,5466.0
2011-Q3,R,0.0966,292.2981963616244,235.0
2011-Q3,Ruby,18.2332,55195.137063520575,5409.0
2011-Q3,Rust,0.3965,1200.1529290681358,193.0
2011-Q3,Scala,1.2477,3776.886140149831,350.0
2011-Q3,Swift,0.0302,91.44728529314337,53.0
2011-Q3,TypeScript,0.2785,843.084111867993,139.0
2011-Q4,C,9.1125,29862.88980898189,4636.0
2011-Q4,C#,2.4313,7967.666544162364,945.0
2011-Q4,C++,9.0066,29515.790753826568,3400.0
2011-Q4,Dart,0.0062,20.41388773239448,22.0
2011-Q4,Go,0.8009,2624.598570105815,250.0
2011-Q4,Haskell,1.6066,5265.074168966831,464.0
2011-Q4,Java,10.6654,34951.73934232112,3168.0
2011-Q4,JavaScript,17.1932,56344.28323369878,8198.0
2011-Q4,Julia,0.0002,0.8074378309441828,19.0
2011-Q4,Kotlin,0.089,291.6362768940735,57.0
2011-Q4,Lua,0.4634,1518.7753029264118,453.0
2011-Q4,Objective-C,1.8561,6082.533486198883,1854.0
2011-Q4,PHP,11.0871,36333.678422253695,3268.0
2011-Q4,Perl,1.5579,5105.50379451752,2527.0
2011-Q4,Python,15.9059,52125.61067112739,6253.0
2011-Q4,R,0.0794,260.2414950641286,284.0
2011-Q4,Ruby,16.3467,53569.957953036224,5733.0
2011-Q4,Rust,0.2787,913.1965844517944,196.0
2011-Q4,Scala,1.2364,4051.7771404298655,401.0
2011-Q4,Swift,0.0256,83.90334953509847,63.0
2011-Q4,TypeScript,0.2508,821.8955015395678,200.0
2012-Q1,C,8.2078,29527.25967238525,4733.0
2012-Q1,C#,2.1952,7897.268281611434,987.0
2012-Q1,C++,8.6808,31228.60923284877,3607.0
2012-Q1,Dart,0.013,46.89033444821907,18.0
2012-Q1,Go,0.748,2690.8540843249857,299.0
2012-Q1,Haskell,1.5748,5665.308712624808,488.0
2012-Q1,Java,12.4833,44908.04017316789,3544.0
